	技术领域: 语言处理	技术领域: 图像分辨率	技术领域: 目标优化	技术领域: 标记/未标记数据	技术领域: 神经控制	技术领域: 控制系统	技术领域: 人工智能	技术领域: 梯度下降	技术领域: 高斯过程	技术领域: 学习系统	技术领域: 支持向量机	技术领域: 分类/聚类	技术领域: 三维建模	技术领域: 图像处理	技术领域: 线性/非线性系统	技术领域: 三维重建	技术领域: 有监督/无监督学习	技术领域: 数学分析	技术领域: 特征提取	技术领域: 强化学习	技术领域: 端到端	技术领域: 机器学习	技术领域: 图像分类	技术领域: 语义分割	技术领域: 长期短期记忆	技术领域: 近邻	技术领域: 深层神经网络	技术领域: 降维	技术领域: 人工神经网络	技术领域: 自然语言处理	技术领域: 深层网络	技术领域: 模式识别	技术领域: 计算效率	技术领域: 学习算法	技术领域: 时变网络	技术领域: 最近邻	技术领域: 自适应控制	技术领域: 迁移学习	技术领域: 模糊逻辑	技术领域: 深层结构	技术领域: 马尔可夫模型	技术领域: 机器翻译	技术领域: 几何模型	技术领域: 计算语言学	技术领域: 多智能体系统	技术领域: 卷积网络	技术领域: 深度学习	技术领域: 进化算法	技术领域: 学习模式	技术领域: 顺序决策	技术领域: 学习技巧	技术领域: 人脸识别	技术领域: 强化学习法	技术领域: 对象分割	技术领域: 聚类分析	技术领域: 回归分析	技术领域: 近似算法	技术领域: 贝叶斯网络	技术领域: 凸优化	技术领域: 递归网络	技术领域: 动力系统	技术领域: 高维数据	技术领域: 优化方法	技术领域: 大规模学习	技术领域: 循环神经网络	技术领域: 数据挖掘	技术领域: 目标识别	技术领域: 计算机视觉	技术领域: 学习方法	技术领域: 对抗性学习	技术领域: 特征表示	技术领域: 神经网络	技术领域: 进化计算	技术领域: 目标检测	技术领域: 网络体系结构	技术领域: 迭代优化	技术领域: 卷积神经网络	技术领域: 鲁棒控制	技术领域: 多智能体	技术领域: 语音识别	技术领域: 问答	技术领域: 分类任务	技术领域: 全局优化	技术领域: 非负矩阵分解	技术领域: 建模语言	技术领域: 在线/主动学习
	entId: ff97f9d5e9b9483ba457c17529415dff	entId: fef67a0da95b4ec9ab839539a8bc6d86	entId: fc2bf12014674d558c5c2567fc1c4463	entId: f8d12f1bdd844e3bb138ca303329fdc0	entId: f72353c85efa4126865a6ffdc08520e0	entId: f3f6e2ac4cfc4d1bba095af17b6a1f0a	entId: e958382b5c584d7a857794748b4db0f9	entId: e942730483b9489aa8df9fd7a3a69e49	entId: e92fc41ee0074835ae55294edb192a40	entId: e90a71a03af948698e25627208abfc32	entId: e6a4a18a5d1344cab03339d3c5f7167d	entId: db0ec55347d644a7a4719249b73d2fa5	entId: dafcc7c4152740ecacd1e545cd56bbba	entId: d8c8574342494de9af427bc2338bee4f	entId: d8b48be7caef4bd5aa69fb5094121ecc	entId: d5e7132d36b74da7ab61e56e7b4251bd	entId: d35de1aabd834ddbbfa5f7cc2173374c	entId: d24abe6b4619480390b06037bba44451	entId: cf7d7abe3e764ad6a6e0f44825e229c6	entId: cd6f09310f3a400a9623c4bc7f1de819	entId: cc65e8d111e447f0927872efb276c7ee	entId: c930eb265eca4c0f971b3091b9e0796e	entId: c333277a6df641e19ec17c59c1c6ce44	entId: c06563cf99c949038d13a09d2f52a42f	entId: bfed175a4f28489282105cfb18f5fd16	entId: be4e4cd247d64e3290bd4a5e3af65f3a	entId: be144d0d40d643898e09c48be2436396	entId: bc100a57d8ba49e596717810f59ff46c	entId: babd629938514fdb947aaa48a416b4d9	entId: b9180d60f8004ec08b2b6ac9ea45c574	entId: b2cf434b8ddc473b923601fb99a2f259	entId: b1cbb8fce7284740a4bbd449dcfb9472	entId: b0d470bfb7bc4b4c901958a1d868830e	entId: b070eaf8a23248289d1bff7171627f4e	entId: afd446dc73db4dd58d4dc55ba40c673b	entId: aeb5cea9948340c5bf5e8505df34c673	entId: acf9bd5022b44258b6a4cc800a421d34	entId: ac35c36fb3b443d18a9f1d608a9806b4	entId: a829a76c159a438dbb866e31fe79dca9	entId: a50210e14ae6453fbf10dde1a82e012b	entId: 9e5f22eac40943fab4e396239c6849f6	entId: 9cdbbfef265d42d19a0c2d1fc6ed98e8	entId: 99680ee4f857482d9fed11873622b050	entId: 95803463ecaf424aa8f66c80e6919f72	entId: 933da49269994d888fb18a15d80198c7	entId: 8ca21900121b4f86a8fcdbc0fde41ffd	entId: 898c9719d18f41f7a6a7365d03e4a6ce	entId: 872b570285194708b92a0ede98d65b81	entId: 8690fafd2e8b44b38941976809f9563e	entId: 85580895ea424afc8843ed7c57813d2d	entId: 8164bdc220604fa9a57fd8830fd10b4a	entId: 79ad27baf1ed47d9bd9373c2f3679352	entId: 776c113ab9e14692b67ac58a6076a927	entId: 76c2da0c6f444f0382d6e6fc6c967b95	entId: 767830f923d84b3d910d22243f4af82a	entId: 73896b77775f45bd97b46ca913a921ff	entId: 725227166cd54680bf2bbce99e60ed90	entId: 722c6a52913944b2835aed7414f7d06f	entId: 71a8a70c3da54a1fa64bd7a8a75f1449	entId: 6df772176f364907bd252d465a6798e5	entId: 6c6fcf3a64674e2abc2adcc027857bce	entId: 6c100cb4122b47f9b7fb2fbab5b21c88	entId: 5f1b88c720084cdc8f852fca3a86d6fa	entId: 53b3a0b1aac64e7091d37384907b73a8	entId: 5089bb87da7d46df89ad6fea25970df3	entId: 4d7e8f6cecbc4451888d13b7a37081b1	entId: 4c46d0a6bd63499ea172dd80ad943236	entId: 46e6e8a4767a4d6fbaed2519acd694e5	entId: 45dd0f8358e74ec3ad2fcad4aa803721	entId: 3e21c95c66ee4e7b8e4aaaab32bf0d10	entId: 36eca3b3ce4242b99172a8d31689b8e5	entId: 31987593c2434c848757d0e118929ac9	entId: 3116686607024d3ca588a08690c374b6	entId: 2d4d3ba7dc7f4b958f2def1cea09ac0c	entId: 2d245913841242aeb1eee09abdb8dc66	entId: 2ab983c0a82a44dabeebb80d3eb79d89	entId: 2aabf1856bdd4d468b24fbc7c150be82	entId: 25bf0f6ab4d74ff4b01aa44c16237cfd	entId: 23a7e84a1e104b2cb7148b2974f8f048	entId: 1e31a286f76d41908554e3a340ef9a37	entId: 1bd5cd09d87345b4b13cef6bfce4ac23	entId: 1b13ba6a0ba442c9982a010e9cf56691	entId: 1a60aa977ec84e40929739227762f53c	entId: 12d70d691c4940b3a50b955fdd0d08d1	entId: 11e6ce9f493d41c1b145f20a7b689f9c	entId: 0e13a36f34e847da8dc9aad4638e2dc6
	领域权重: 5.0	领域权重: 0.5	领域权重: 1.0	领域权重: 1.0	领域权重: 0	领域权重: 3.8	领域权重: 0	领域权重: 5.0	领域权重: 0.4	领域权重: 5.0	领域权重: 2.0	领域权重: 2.0	领域权重: 0.7	领域权重: 5.0	领域权重: 2.0	领域权重: 2.5	领域权重: 2.5	领域权重: 5.0	领域权重: 3.6	领域权重: 3.5	领域权重: 5.0	领域权重: 0	领域权重: 1.2	领域权重: 0.5	领域权重: 2.0	领域权重: 0.8	领域权重: 5.0	领域权重: 1.0	领域权重: 0	领域权重: 0	领域权重: 5.0	领域权重: 0	领域权重: 1.5	领域权重: 4.7	领域权重: 5.0	领域权重: 0.8	领域权重: 5.0	领域权重: 0.4	领域权重: 1.8	领域权重: 5.0	领域权重: 1.0	领域权重: 4.3	领域权重: 5.0	领域权重: 4.5	领域权重: 2.7	领域权重: 5.0	领域权重: 3.0	领域权重: 5.0	领域权重: 1.5	领域权重: 0.8	领域权重: 0.8	领域权重: 1.0	领域权重: 5.0	领域权重: 3.5	领域权重: 1.5	领域权重: 0.3	领域权重: 2.5	领域权重: 2.0	领域权重: 2.5	领域权重: 5.0	领域权重: 1.0	领域权重: 1.8	领域权重: 3.5	领域权重: 1.5	领域权重: 4.5	领域权重: 2.0	领域权重: 5.0	领域权重: 5.0	领域权重: 5.0	领域权重: 1.5	领域权重: 1.2	领域权重: 2.8	领域权重: 1.5	领域权重: 3.5	领域权重: 2.8	领域权重: 4.0	领域权重: 5.0	领域权重: 0.3	领域权重: 5.0	领域权重: 2.5	领域权重: 1.4	领域权重: 5.0	领域权重: 1.5	领域权重: 0.8	领域权重: 5.0	领域权重: 5.0
	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0	文章数: 0
	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0	阅读数: 0
	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0	引用数: 0
	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE	version: BASE
	列层级: 3	列层级: 4	列层级: 3	列层级: 4	列层级: 2	列层级: 3	列层级: 1	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 3	列层级: 3	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 3	列层级: 4	列层级: 2	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 3	列层级: 4	列层级: 2	列层级: 2	列层级: 4	列层级: 2	列层级: 4	列层级: 3	列层级: 4	列层级: 4	列层级: 3	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 3	列层级: 3	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 3	列层级: 4	列层级: 3	列层级: 4	列层级: 4	列层级: 3	列层级: 3	列层级: 4	列层级: 4	列层级: 3	列层级: 4	列层级: 3	列层级: 3	列层级: 4	列层级: 3	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4	列层级: 4
('能力: 报警功能', 'entId: 048324ac3bb04c1aae304b10b14ac776', '权威性: 0', 'version: QTB', '行层级: 3')	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('能力: 监测水平', 'entId: 0c146cd669e04625b1746b4ba38f0fc1', '权威性: 0', 'version: QTB', '行层级: 3')	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('能力: 最优波浪能源捕获', 'entId: 1a7cc3e871784b70993b5da969fcd7b9', '权威性: 0', 'version: QTB', '行层级: 3')	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
